,0
2135,10476
2136,10478
2137,10482
2138,10484
2139,10491
2140,10495
2141,10498
2142,10499
2143,10502
2144,10504
2145,10507
2146,10508
2147,10509
2148,10519
2149,10520
2150,10525
2151,10530
2152,10532
2153,10534
2154,10540
2155,10541
2156,10543
2157,10549
2158,10550
2159,10552
2160,10553
2161,10564
2162,10565
2163,10567
2164,10574
2165,10575
2166,10581
2167,10585
2168,10588
2169,10597
2170,10598
2171,10599
2172,10601
2173,10609
2174,10614
2175,10615
2176,10618
2177,10619
2178,10621
2179,10622
2180,10626
2181,10629
2182,10631
2183,10639
2184,10645
2185,10654
2186,10656
2187,10658
2188,10670
2189,10671
2190,10676
2191,10678
2192,10685
2193,10686
2194,10692
2195,10713
2196,10724
2197,10726
2198,10733
2199,10734
2200,10735
2201,10740
2202,10743
2203,10755
2204,10757
2205,10761
2206,10777
2207,10783
2208,10787
2209,10789
2210,10791
2211,10793
2212,10795
2213,10801
2214,10810
2215,10813
2216,10816
2217,10827
2218,10832
2219,10834
2220,10839
2221,10840
2222,10845
2223,10846
2224,10850
2225,10853
2226,10857
2227,10860
2228,10862
2229,10863
2230,10866
2231,10867
2232,10868
2233,10870
2234,10871
2235,10877
2236,10884
2237,10894
2238,10902
2239,10903
2240,10905
2241,10906
2242,10909
2243,10916
2244,10917
2245,10920
2246,10921
2247,10930
2248,10938
2249,10946
2250,10970
2251,10974
2252,10981
2253,10982
2254,10983
2255,10984
2256,10988
2257,10990
2258,10991
2259,10994
2260,10999
2261,11010
2262,11012
2263,11017
2264,11018
2265,11027
2266,11032
2267,11035
2268,11038
2269,11051
2270,11056
2271,11060
2272,11065
2273,11070
2274,11074
2275,11094
2276,11096
2277,11099
2278,11115
2279,11124
2280,11128
2281,11135
2282,11136
2283,11140
2284,11142
2285,11147
2286,11154
2287,11160
2288,11161
2289,11162
2290,11169
2291,11172
2292,11174
2293,11178
2294,11183
2295,11185
2296,11188
2297,11191
2298,11213
2299,11217
2300,11218
2301,11220
2302,11225
2303,11228
2304,11234
2305,11247
2306,11249
2307,11257
2308,11258
2309,11259
2310,11264
2311,11265
2312,11267
2313,11271
2314,11281
2315,11286
2316,11289
2317,11291
2318,11296
2319,11297
2320,11300
2321,11301
2322,11302
2323,11304
2324,11310
2325,11313
2326,11315
2327,11318
2328,11325
2329,11328
2330,11332
2331,11340
2332,11343
2333,11351
2334,11361
2335,11366
2336,11371
2337,11372
2338,11376
2339,11378
2340,11380
2341,11384
2342,11389
2343,11399
2344,11406
2345,11409
2346,11423
2347,11424
2348,11427
2349,11437
2350,11440
2351,11443
2352,11446
2353,11448
2354,11450
2355,11455
2356,11456
2357,11462
2358,11463
2359,11465
2360,11469
2361,11480
2362,11482
2363,11499
2364,11502
2365,11506
2366,11508
2367,11509
2368,11511
2369,11513
2370,11514
2371,11516
2372,11523
2373,11527
2374,11531
2375,11535
2376,11537
2377,11538
2378,11550
2379,11552
2380,11554
2381,11555
2382,11558
2383,11564
2384,11566
2385,11573
2386,11580
2387,11584
2388,11600
2389,11609
2390,11611
2391,11628
2392,11630
2393,11632
2394,11636
2395,11641
2396,11644
2397,11646
2398,11649
2399,11656
2400,11657
2401,11667
2402,11669
2403,11670
2404,11672
2405,11678
2406,11684
2407,11687
2408,11694
2409,11700
2410,11703
2411,11708
2412,11720
2413,11721
2414,11722
2415,11727
2416,11729
2417,11730
2418,11735
2419,11738
2420,11739
2421,11745
2422,11747
2423,11748
2424,11749
2425,11751
2426,11756
2427,11757
2428,11770
2429,11774
2430,11776
2431,11779
2432,11781
2433,11787
2434,11790
2435,11793
2436,11796
2437,11804
2438,11805
2439,11811
